business_name,review_location,review_date,review_stars,review_content,user_url
Food Truck Cinema,"Sacramento, CA",9/23/2018,5,"I just drove from Sacramento to Concord to see the movie, Top gun. My outdoor cinema experience was fantastic. I took pics of children running around playing the games organized for them. I ate delicious Veggetarian pasta and had a beer. They had custard ice cream. The moon was back behind us looking nearly full. Every now and then I looked off in the direction of the rolling hills. Amazing evening. I finally got to see the movie Top gun!",https://www.yelp.com/user_details?userid=UOAFBrDQ7NUVvHz5b8HMFg
Food Truck Cinema,"Roseville, CA",7/30/2018,4,Absolutely love food truck cinema. I have attended the event in Roseville a couple of times after purchasing the GroupOn tickets. The normal ticket price isn't too bad either. The event is well ran and so organized and safe that I can even leave my chairs and blankets unattended while I get my food. My only suggestion or desire would be is to possibly show older movies or a chick flick. It was like be a perfect date night event.,https://www.yelp.com/user_details?userid=0ludUxz0xd4X8U9-J3uGuQ
Food Truck Cinema,"Sacramento, CA",5/20/2017,5,"WONDERFUL FAMILY EVENING OUT!!<br>Spend an evening outside with your favorite people -- bring chairs and a picnic or purchase from the wide variety of yummy food trucks!!  (If you are lazy, er, I mean, come spur of the minute, they rent beach chairs and blankets, too!!). Beer and wine available for purchase as well!!<br>Be forewarned, food trucks vacate the premises about 15 minutes into the movie, so buy your yummies during trivia and finish eating as the movie begins!<br><br>Thank you, George, Stephanie, Tyler, and the entire FTC Crew!! #FoodTruckCinema",https://www.yelp.com/user_details?userid=A8nNerq7_eQq5Hupi7a-1w
Food Truck Cinema,"Stockton, CA",9/16/2016,5,"This is what family fun entertainment is all about! <br><br>Live local music from 5-8pm, then a great movie after...tonight we got to see Ferris Buller's Day Off on a huge blow up screen. 4 great food trucks that took credit cards. People of all ages were at the event...everything was interactive, trivia before the movie, everything over by 10.  Can't ask for much more than that! <br><br>I came from Stockton to be at this event, got here about 5:45 and got amazing seats! Everything is on the lawn so bring a blanket or a small beach chair to be comfortable. Early tickets were only 10 bucks and worth every penny. <br><br>The whole event was well thought out and done from start to finish...I wish they did stuff like this in Stockton but I will continue to drive to Roseville for this fun. <br><br>They are planning another event in a month with Top Gun. Honestly I can't wait!!",https://www.yelp.com/user_details?userid=SitYDdmJtpyi8V7vNJcBCg
Food Truck Cinema,"Sacramento, CA",11/6/2017,3,"Have to get here super early to have a decent spot. Food truck selections were limited and the lines were INSANE. <br>Please, another truck that's not meh so people can spread out beyond the two trucks with interesting food and not wait 40 minutes. Thanks.",https://www.yelp.com/user_details?userid=TxYPBD60U2z7DS2ihyqpug
Food Truck Cinema,"San Bruno, CA",12/21/2017,2,"Purchased prepaid tix to see a summer film in the park up north-VIP tix. I contacted them twice via phone well before the event, b/c i dont live in the local area and needed some info. on how the VIP vs the general admission was. Nobody contacted back. I didn't show up to the park until 30 minutes before the film, and parked inside their park. By the time i arrived, there were no lines, and i had to ask a few ppl lingering around about getting inside and my VIP ""tix"". The organizers were about to leave and he just told me to go find a spot in the front section. Well, EVERYONE had blankets and laid down camping chairs and gear. Lots of ppl who weren't VIP tix holders were in front, so how does this make it fair? i thought there were closed off sections. Just zero customer service (no calls back), seems to not have mattered on how much you paid as it's ""sit as you like"" type of deal. I won't be attending any of their events. The screen wasn't that great. Too many ppl talking and being rude...but that's not the fault of the company putting this together.",https://www.yelp.com/user_details?userid=USdWbCN1iovQFy1AQp2TRw
Food Truck Cinema,"Roseville, CA",12/29/2016,5,My family and I had an amazing time at Food-truck cinema watching my father's favorite movie Top Gun!  We all went off our diets and enjoyed burgers and ice cream sundaes from the really cool Food Trucks.   The scenery was amazing watching the movie on the beautiful wood creek golf course under the stars.  They did such a great job with the ginormous movie screen and the surround sound that made those planes roar over our heads!  We will definitely be back in the new year.  Did I mention the fabulous wines and craft beer selections?  Job well done by all.,https://www.yelp.com/user_details?userid=WQDSMshhsmAfDeKNJ4LyDg
Food Truck Cinema,"Santa Rosa, CA",7/31/2017,4,Had a great time! The whole family enjoyed the night we got there right when it opened and got great seats. Only negative was  the food. We were with a group of about 12 and non of us liked any of the food from the food trucks. Not good quality food.,https://www.yelp.com/user_details?userid=hDwGC-wfdHPqT-MtVLO1jQ
Food Truck Cinema,"Roseville, CA",9/16/2016,5,"More the merrier!! Bring friends, family or strangers ---- a fun time with good food, drinks and super relaxing.  Do not miss an evening out.  Thanks FTC, Nice Job!!!!",https://www.yelp.com/user_details?userid=1GdSajg0VMbF9_urpmywqA
La Mex Taqueria Truck,"Rocklin, CA",10/8/2018,4,"Ate at La Mex at the Water Lantern Festival, and my teen said it was the best burrito he's ever had in his life, even better than his favorite place. He wouldn't even let me have a bite!<br><br>I got the fish tacos, and they were good, but it was the end of the night and my fish was pretty soggy. If the fish had some crispness/firmness to it, they would have been way up there on my favorites list. <br><br>And, the service was outstanding! They were quick and friendly.<br><br>Can't wait to find this truck again, or I may even surprise my son with a trip to the stand.",https://www.yelp.com/user_details?userid=_VTXn0Xh1y9rVFzVKoaqnw
