user_name,user_location,user_friend_count,user_review_count,user_elite,user_yelp_age,user_review_votes,user_url,user_5star,user_4star,user_3star,user_2star,user_1star
Hai L.,"Sacramento, CA",41,172,1,4/1/2016,200,https://www.yelp.com/user_details?userid=evX3hPoTbfcvb_D13O1P2A,40,73,38,15,6
Dei C.,"Sacramento, CA",1,34,0,5/1/2013,12,https://www.yelp.com/user_details?userid=cwssaH9JMMWWSS-04vogPQ,23,7,2,2,0
Liz D.,"Lodi, CA",11,29,0,11/1/2011,71,https://www.yelp.com/user_details?userid=N_PvfZ0gM2eu4yITn9h12Q,12,7,4,3,3
Sam H.,"Sacramento, CA",447,10,0,5/1/2012,19,https://www.yelp.com/user_details?userid=9PClF0cUKAledF10oBJy_w,6,2,0,0,2
Julie P.,"North Highlands, CA",0,3,0,1/1/2014,5,https://www.yelp.com/user_details?userid=433Q4j5yzeDwOdJxFNrPIQ,0,0,0,0,0
Cynthia M.,"Downtown, Sacramento, CA",203,8,0,9/1/2011,29,https://www.yelp.com/user_details?userid=m3bAptljrAt0dEAnhdPaow,4,0,0,0,4
Brian Wait for it..." D.","Sacramento, CA",53,32,0,3/1/2012,49,https://www.yelp.com/user_details?userid=I1ygiTt4SQ1YOQ_ND_ccZQ,15,12,2,2,1
Amanda G.,"Sacramento, CA",0,5,0,10/1/2014,4,https://www.yelp.com/user_details?userid=KBPh-JDc4AvYfuaoxa6VDg,2,0,1,0,2
Atom A.,"La Palma, CA",0,2,0,4/1/2015,0,https://www.yelp.com/user_details?userid=r4Nlf5PRdNimLNtcVJTkAw,0,0,0,0,0
Natalie C.,"Sacramento, CA",3,26,0,2/1/2011,32,https://www.yelp.com/user_details?userid=CUcOwk80FzgyuE0dAlTrlg,18,1,0,2,5
Sarah T.,"Sacramento, CA",114,27,0,11/1/2010,51,https://www.yelp.com/user_details?userid=o1mLiu6f-GnhqiQHOhhgzw,16,4,1,2,4
Jeanette Jeanetto" L.","Sacramento, CA",379,81,0,11/1/2012,534,https://www.yelp.com/user_details?userid=JzN6-59irUmZsmfSdjJpxw,8,36,27,7,3
Human O.,"Sacramento, CA",0,5,0,1/1/2018,4,https://www.yelp.com/user_details?userid=r07Qr3GHZZAY6r3OU0M7tA,2,0,0,2,1
Marcus M.,"Sacramento, CA",420,280,1,8/1/2014,915,https://www.yelp.com/user_details?userid=neIih87ohH1sf1WzUrpfzw,68,99,58,26,29
Ike R.,"Sacramento, CA",6,88,0,3/1/2012,121,https://www.yelp.com/user_details?userid=7oUataxWbHz8HBhV-TB7sQ,15,30,26,13,4
Amy H.,"Shingle Springs, CA",0,13,0,8/1/2014,8,https://www.yelp.com/user_details?userid=ZVBVyWv6P7DZ-RuP9CZ_cQ,11,1,1,0,0
Jasper C.,"Amagansett, NY",0,18,0,7/1/2014,11,https://www.yelp.com/user_details?userid=ZyB4TIDlylRKb6hBDOCifw,13,1,1,2,1
Janey Y.,"El Dorado, CA",10,15,0,12/1/2009,39,https://www.yelp.com/user_details?userid=QMbMIpDpF-pGCsqHgvkdxw,12,2,0,0,1
Jenny nomalicious" S.","Hoboken, NJ",45,61,0,9/1/2014,166,https://www.yelp.com/user_details?userid=6wp8g3FV6ah70qcl2SBPfw,40,19,2,0,0
Mariella R.,"Sacramento, CA",3,25,0,8/1/2011,68,https://www.yelp.com/user_details?userid=_SAMiDjJfMv7Ol-iz4AeUA,12,1,3,4,5
Daniel S.,"Santa Rosa, CA",2,64,1,6/1/2015,131,https://www.yelp.com/user_details?userid=ZJbr_8S5Is2Lr8eMR2pGkQ,10,23,17,10,4
Josiah Siah" H.","Sacramento, CA",443,160,1,10/1/2013,2060,https://www.yelp.com/user_details?userid=IdpLX57wCQ4eTMZZpb0F3w,46,59,31,16,8
Redman M.,"Marysville, CA",47,7,0,2/1/2014,0,https://www.yelp.com/user_details?userid=wsiiCJ3zpECMl2Z6GeBxxw,5,0,0,0,2
Mel L.,"Sacramento, CA",652,616,1,5/1/2009,7143,https://www.yelp.com/user_details?userid=WdRdVg3-yGJ1uPY1mBDYeQ,188,258,132,33,5
Cameron Y.,"Northeast Portland, Portland, OR",6,13,0,1/1/2011,7,https://www.yelp.com/user_details?userid=s9fJ-2kTKzRo_x9FZg654g,5,2,2,1,3
Nichole R.,"Sacramento, CA",1,13,0,5/1/2015,5,https://www.yelp.com/user_details?userid=6AYRGHte5qU2jXrbWiiVnQ,6,0,1,1,5
Guest U.,"San Francisco, CA",2,210,0,1/1/2015,121,https://www.yelp.com/user_details?userid=_IdYl7nvyEhTIxSTpIZ-Mw,0,75,114,19,2
Norman F.,"Carmichael, CA",234,2,0,8/1/2015,2,https://www.yelp.com/user_details?userid=UTbXSHukbPiUgNgWz9z2Jg,0,0,0,0,0
D W.,"Fairfield, CA",0,34,0,5/1/2013,18,https://www.yelp.com/user_details?userid=823invBsEPAeBlcGOsJ6IQ,8,6,8,7,5
Jennifer H.,"Sacramento, CA",5,2,0,4/1/2010,0,https://www.yelp.com/user_details?userid=t4Y7rw8ocNyFdMmm23JocA,0,0,0,0,0
nathan h.,"Rancho Cordova, CA",0,7,0,3/1/2011,7,https://www.yelp.com/user_details?userid=9-unPA2qrCb5kcJqKyuqwA,2,1,1,2,1
S. S.,"Irvine, CA",30,111,0,2/1/2009,60,https://www.yelp.com/user_details?userid=VSUp8yBWaEL9PbNp6iGAnQ,49,43,10,5,4
Kim H.,"Sacramento, CA",47,25,0,1/1/2013,15,https://www.yelp.com/user_details?userid=23rfPL-dwIPGb3rrYEOF-Q,20,3,1,0,1
Cali G.,"Sacramento, CA",386,26,0,7/1/2016,3,https://www.yelp.com/user_details?userid=Zlp2ehO4o06yoXknOWAM0g,9,6,3,1,7
Julianne S.,"Davis, CA",8,128,0,12/1/2009,74,https://www.yelp.com/user_details?userid=JsElsDS_4FqiCgxaXiYWAQ,41,62,18,6,1
Sandi S.,"Sacramento, CA",0,14,0,8/1/2015,12,https://www.yelp.com/user_details?userid=A7Swzvt_dktO7El6HIK5tw,5,2,1,5,1
Richard N.,"Rocklin, CA",1,19,0,5/1/2011,62,https://www.yelp.com/user_details?userid=BN0A--UWIGBvSGKdY0Q64Q,8,1,0,5,5
Blakeley hi_Blakeley" L.","Sacramento, CA",189,195,1,3/1/2010,1291,https://www.yelp.com/user_details?userid=3zHyAUXuuu8YSkT6k6dovA,99,38,27,15,16
Jessica S.,"Hilliard, OH",178,67,0,5/1/2013,62,https://www.yelp.com/user_details?userid=kbtscdyz6lvrtGjD1quQTg,39,17,2,6,3
Dan G.,"Campbell, CA",14,7,0,8/1/2013,5,https://www.yelp.com/user_details?userid=o1xQMGhsqVVFv3C94sh5Ow,5,0,0,0,2
Sean H.,"Sacramento, CA",0,5,0,3/1/2016,14,https://www.yelp.com/user_details?userid=ynbcf4egd7iF1UnBvHKa9w,2,2,0,1,0
Aaron W.,"Sacramento, CA",343,34,0,5/1/2010,30,https://www.yelp.com/user_details?userid=_zFwXD5hR0AC1L06OjLENg,32,2,0,0,0
Jen N.,"Elk Grove, CA",55,14,0,11/1/2007,23,https://www.yelp.com/user_details?userid=8r1MvPCkJO2eAjNiGbbgOA,5,3,3,1,2
Isabel G.,"Midtown, Sacramento, CA",1,12,0,2/1/2014,35,https://www.yelp.com/user_details?userid=6s_Vz5dXMvND573FPdOVig,5,1,0,1,5
Emily F.,"Sacramento, CA",334,3,0,1/1/2017,1,https://www.yelp.com/user_details?userid=Pdq5dnv7Lt0CzcLqrdGNag,0,0,0,0,0
Gemmy H.,"Long Beach, CA",30,9,0,6/1/2012,16,https://www.yelp.com/user_details?userid=r6DUSBBG6udiikMGpQOvXQ,2,1,0,2,4
van t.,"Wilton, CA",32,123,0,10/1/2010,168,https://www.yelp.com/user_details?userid=TF0Ob0eEAIXtpFDzFBDfvQ,32,35,24,22,10
Jennifer J.,"Sacramento, CA",1,26,0,10/1/2013,29,https://www.yelp.com/user_details?userid=knRvukFOw0KhuK18nJ_FiQ,9,6,3,3,5
Manuel B.,"Washington, DC",4,6,0,3/1/2012,10,https://www.yelp.com/user_details?userid=doVAZ-Mo9A5KmBGC0d4Iuw,3,0,0,1,2
Annie Big Fanny" A.","San Francisco, CA",358,298,1,2/1/2011,3384,https://www.yelp.com/user_details?userid=-aq0KKWyMbhugu183UGj7Q,113,119,32,21,13
Vada Vada" D.","Cory, San Jose, CA",51,66,0,2/1/2007,82,https://www.yelp.com/user_details?userid=nBMqI-GpwAcyiQOhPXfJ7A,44,11,6,4,1
Karin M.,"Sacramento, CA",1,8,0,3/1/2011,9,https://www.yelp.com/user_details?userid=exnv4hI6kfd-_aUUVVDeHQ,7,1,0,0,0
Libby K.,"Granite Bay, CA",15,4,0,2/1/2018,0,https://www.yelp.com/user_details?userid=sMXYsyk41NmCy6riBGq3-g,2,2,0,0,0
Angelica Z.,"Yuba City, CA",0,12,0,2/1/2015,6,https://www.yelp.com/user_details?userid=3LnT8fOlRMaOuKAtD1ewBA,10,1,0,0,1
Janiece S.,"Johnson Ranch, Roseville, CA",0,6,0,7/1/2018,7,https://www.yelp.com/user_details?userid=m4pmQvBWDbs3fle9XBAvmA,1,1,1,0,3
Lisa S.,"Sacramento, CA",0,13,0,11/1/2012,14,https://www.yelp.com/user_details?userid=7r8UrqY9di-y0euahf2vpA,9,3,0,1,0
Jon H.,"Sacramento, CA",255,7,0,11/1/2010,23,https://www.yelp.com/user_details?userid=fkD9Bqw_WFZfD1FPOjfD9g,4,2,1,0,0
Daniel M.,"Bellmore, NY",2,18,0,8/1/2017,8,https://www.yelp.com/user_details?userid=JjWZwyp87SwWfugC1fWhdA,4,6,1,2,5
Sarah T.,"Granite Bay, CA",280,3,0,12/1/2015,8,https://www.yelp.com/user_details?userid=5fXXxlM1vLy1OxBDSCwUyQ,0,0,0,0,0
Steph M.,"Sacramento, CA",5,61,1,2/1/2012,23,https://www.yelp.com/user_details?userid=s2LZpg5CEF655DcwWPssDQ,32,28,1,0,0
Foodie Sushi Q.,"Daly City, CA",0,32,0,9/1/2017,2,https://www.yelp.com/user_details?userid=hOCmTBYbNKrxhogHffZhvA,32,0,0,0,0
Jerry N.,"San Diego, CA",19,690,0,7/1/2011,942,https://www.yelp.com/user_details?userid=EktGmM6cG1dE6uk_pDslmQ,283,203,59,71,74
Mari G.,"Elk Grove, CA",7,3,0,9/1/2014,19,https://www.yelp.com/user_details?userid=q76K4EMt3svbdK-x75MzAw,0,0,0,0,0
Todd W.,"Culver City, CA",16,71,0,11/1/2009,169,https://www.yelp.com/user_details?userid=aEn9MSE3jXHG1WL-9RWKWA,20,14,2,4,31
Shammi T.,"Toronto, Canada",11,23,0,10/1/2012,47,https://www.yelp.com/user_details?userid=zFEwQGDprnFM5Tb2HqvYEA,15,2,1,0,5
Sophia getting gourmet since 1983" A.","Sacramento, CA",153,145,1,11/1/2009,1142,https://www.yelp.com/user_details?userid=2h_lSJ1bPrTE_yuMnTC9Xg,64,56,22,2,1
Robert P.,"Sacramento, CA",290,282,0,8/1/2014,158,https://www.yelp.com/user_details?userid=BI1tOiy7Lk8kEvbKXCRV-g,30,128,66,30,28
Holyfool F.,"Sacramento, CA",0,7,0,1/1/2012,9,https://www.yelp.com/user_details?userid=B5VMFCHyjtEz6M08SCtXqg,4,0,1,1,1
Tre Golden Child" S.","Pittsburg, CA",298,331,1,2/1/2015,8525,https://www.yelp.com/user_details?userid=cZ93eNPyk7kC9F1PPpfPOQ,102,116,92,19,2
James D.,"Sacramento, CA",76,41,0,1/1/2011,35,https://www.yelp.com/user_details?userid=1G99OYz0Lj-jqnO66rTpeA,26,5,2,1,7
Jon BigJon" M.","Ripon, CA",0,27,0,10/1/2009,28,https://www.yelp.com/user_details?userid=rOs6bB8dV6_ZnATc2-vrzw,2,8,6,7,4
Irene A.,"Sacramento, CA",44,33,0,5/1/2011,24,https://www.yelp.com/user_details?userid=oFESs7M0mLqYd8K0Kma0sw,12,11,6,1,3
Mireya R.,"Elk Grove, CA",316,67,1,10/1/2010,187,https://www.yelp.com/user_details?userid=ttBUtZ9xPZM9AIL_QJkuGw,25,25,12,2,3
Liz The Rad Ass" Z.","Sacramento, CA",195,71,1,7/1/2008,207,https://www.yelp.com/user_details?userid=N2WJIqNaBwWznJax0XxLMw,34,15,14,5,3
Sal C.,"Davis, CA",505,47,0,8/1/2013,75,https://www.yelp.com/user_details?userid=A2hq0TE8e4pya96lsKd8lg,23,7,7,4,6
Chris L.,"West Sacramento, CA",0,14,0,10/1/2013,9,https://www.yelp.com/user_details?userid=wNDAaGVGphtK9yo74kdZZg,9,0,0,1,4
Kurt C.,"Sacramento, CA",698,407,1,6/1/2014,7899,https://www.yelp.com/user_details?userid=F-MaBP0EuzB8ZXXTtJyVWw,104,190,95,15,3
Linda C.,"Sacramento, CA",7,40,0,11/1/2012,17,https://www.yelp.com/user_details?userid=64vQJDjaq8xSHMN1sIoMjA,23,6,6,3,2
Ramon L.,"Elk Grove, CA",0,5,0,3/1/2016,9,https://www.yelp.com/user_details?userid=IjUiiCLzi4BHRyC3rjWhjg,2,1,0,0,2
JuanAlejandro M.,"Sacramento, CA",74,6,0,12/1/2016,1,https://www.yelp.com/user_details?userid=HxHFDbo56xwZLyF2DDEWLw,5,0,0,1,0
Michael W.,"San Jose, CA",85,5,0,8/1/2016,2,https://www.yelp.com/user_details?userid=8IlUS9p12miGhCj1rWcK0A,2,0,1,0,2
Kim B.,"Elk Grove, CA",0,16,0,12/1/2013,21,https://www.yelp.com/user_details?userid=O-pFg-dyKmjpItDwrhpt4Q,4,9,0,0,3
Forest S.,"Sacramento, CA",594,15,0,2/1/2015,8,https://www.yelp.com/user_details?userid=thZUDnexLS1IRja6tXWtpw,5,4,1,0,5
Liliana C.,"Sacramento, CA",101,5,0,7/1/2015,5,https://www.yelp.com/user_details?userid=JN9BpVTtGRI6MtaiqvJ1PQ,4,0,1,0,0
Shannen C.,"Sacramento, CA",318,500,1,8/1/2012,2589,https://www.yelp.com/user_details?userid=cr0lapXsI2Cx-UFmfHAfAw,112,221,125,34,8
H3h8m 3.,"Sacramento, CA",52,95,0,6/1/2007,275,https://www.yelp.com/user_details?userid=9snWBcFYBxtsBlMyQe9_xA,19,27,12,16,21
Aasim A.,"Sacramento, CA",84,41,0,12/1/2013,92,https://www.yelp.com/user_details?userid=rWIdkbw2y7zR5HwXtJ5KyA,28,3,1,3,6
Chelsey B.,"Citrus Heights, CA",4,5,0,12/1/2014,20,https://www.yelp.com/user_details?userid=XYGt6G18JRzVSvQEtV9vLQ,2,1,0,0,2
